Time,Event
02:09.950,Lemme At'em prepares  Intervene  on Erichthonios 3307+31% damage
02:10.218,"Lemme At'em Circle of Scorn Erichthonios Tick  898 (T: 661, C: 34.2%, D: 19.2%, P/R: 18.36, G: 688.34, M: 1.25, S: 833)+25% damage"
02:10.218,"Lemme At'em Goring Blade Erichthonios Tick  2049 (T: 1509, C: 34.2%, D: 19.2%, P/R: 18.36, G: 1563.00, M: 1.31, S: 1901)+31% damage"
02:10.307,Lemme At'em prepares  attack  on Erichthonios *2395*+31% damage
02:10.530,Lemme At'em Intervene Erichthonios 3307
02:10.841,Lemme At'em attack Erichthonios *2395*
02:11.198,Lemme At'em prepares  Expiacion  on Erichthonios *12312*+39% damage
02:11.555,Lemme At'em Expiacion Erichthonios *12312*
02:11.822,Lemme At'em prepares  Fast Blade  on Erichthonios *7799*+39% damage
02:12.401,Lemme At'em prepares  Intervene  on Erichthonios 3542+39% damage
02:12.446,Lemme At'em Fast Blade Erichthonios *7799*
02:12.580,Lemme At'em prepares  attack  on Erichthonios 1586+39% damage
02:12.981,Lemme At'em Intervene Erichthonios 3542
02:13.116,Lemme At'em attack Erichthonios 1586
02:13.205,"Lemme At'em Circle of Scorn Erichthonios Tick  784 (T: 661, C: 34.2%, D: 19.2%, P/R: 18.36, G: 688.34, M: 1.25, S: 833)+25% damage"
02:13.205,"Lemme At'em Goring Blade Erichthonios Tick  1791 (T: 1509, C: 34.2%, D: 19.2%, P/R: 18.36, G: 1563.00, M: 1.31, S: 1901)+31% damage"
02:14.228,Lemme At'em prepares  Riot Blade  on Erichthonios 7035 (+43%)+39% damage
02:14.852,Lemme At'em prepares  attack  on Erichthonios 1624+39% damage
02:14.986,Lemme At'em Riot Blade Erichthonios 7035 (+43%)
02:15.385,Lemme At'em attack Erichthonios 1624
02:16.008,Lemme At'em prepares  Requiescat  on Erichthonios 7744+11% damage
02:16.187,"Lemme At'em Circle of Scorn Erichthonios Tick  802 (T: 661, C: 34.2%, D: 19.2%, P/R: 18.36, G: 688.34, M: 1.25, S: 833)+25% damage"
02:16.187,"Lemme At'em Goring Blade Erichthonios Tick  1829 (T: 1509, C: 34.2%, D: 19.2%, P/R: 18.36, G: 1563.00, M: 1.31, S: 1901)+31% damage"
02:16.633,Lemme At'em Requiescat Erichthonios 7744
02:16.633,Lemme At'em prepares  Royal Authority  on Erichthonios 9713 (+69%)+39% damage
02:17.123,Lemme At'em prepares  attack  on Erichthonios 1580+39% damage
02:17.212,Lemme At'em Royal Authority Erichthonios 9713 (+69%)
02:17.657,Lemme At'em attack Erichthonios 1580
02:19.083,Lemme At'em prepares  Atonement  on Erichthonios *15487*+39% damage
02:19.216,"Lemme At'em Circle of Scorn Erichthonios Tick  858 (T: 661, C: 34.2%, D: 19.2%, P/R: 18.36, G: 688.34, M: 1.25, S: 833)+25% damage"
02:19.216,"Lemme At'em Goring Blade Erichthonios Tick  1958 (T: 1509, C: 34.2%, D: 19.2%, P/R: 18.36, G: 1563.00, M: 1.31, S: 1901)+31% damage"
02:19.395,Lemme At'em prepares  attack  on Erichthonios 1964 (Direct Hit)+39% damage
02:19.929,Lemme At'em attack Erichthonios 1964 (Direct Hit)
02:20.374,Lemme At'em Atonement Erichthonios *15487*
02:21.486,Lemme At'em prepares  Atonement  on Erichthonios *15946*+39% damage
02:21.664,Lemme At'em prepares  attack  on Erichthonios 1982 (Direct Hit)+39% damage
02:22.199,Lemme At'em attack Erichthonios 1982 (Direct Hit)
02:22.200,"Lemme At'em Circle of Scorn Erichthonios Tick  761 (T: 661, C: 34.2%, D: 19.2%, P/R: 18.36, G: 688.34, M: 1.25, S: 833)+25% damage"
02:22.200,"Lemme At'em Goring Blade Erichthonios Tick  1736 (T: 1509, C: 34.2%, D: 19.2%, P/R: 18.36, G: 1563.00, M: 1.31, S: 1901)+31% damage"
02:22.778,Lemme At'em Atonement Erichthonios *15946*
02:23.936,Lemme At'em prepares  Atonement  on Erichthonios 10436+39% damage
02:23.936,Lemme At'em prepares  attack  on Erichthonios 1681+39% damage
02:24.470,Lemme At'em attack Erichthonios 1681
02:25.183,"Lemme At'em Goring Blade Erichthonios Tick  1836 (T: 1509, C: 34.2%, D: 19.2%, P/R: 18.36, G: 1563.00, M: 1.31, S: 1901)+31% damage"
02:25.228,Lemme At'em Atonement Erichthonios 10436
02:26.210,Lemme At'em prepares  attack  on Erichthonios 1461+25% damage
02:26.344,Lemme At'em prepares  Fast Blade  on Erichthonios 4262+25% damage
02:26.745,Lemme At'em attack Erichthonios 1461
02:26.967,Lemme At'em Fast Blade Erichthonios 4262
02:28.182,"Lemme At'em Goring Blade Erichthonios Tick  1774 (T: 1509, C: 34.2%, D: 19.2%, P/R: 18.36, G: 1563.00, M: 1.31, S: 1901)+31% damage"
02:28.483,Lemme At'em prepares  attack  on Erichthonios 1483+25% damage
02:28.749,Lemme At'em prepares  Riot Blade  on Erichthonios 6583 (+43%)+25% damage
02:29.016,Lemme At'em attack Erichthonios 1483
02:29.506,Lemme At'em Riot Blade Erichthonios 6583 (+43%)
02:30.756,Lemme At'em prepares  attack  on Erichthonios *2446*+25% damage
02:31.200,Lemme At'em prepares  Goring Blade  on Erichthonios 6427 (Direct Hit) (+60%)+25% damage
02:31.289,Lemme At'em attack Erichthonios *2446*
02:31.733,Lemme At'em Goring Blade Erichthonios 6427 (Direct Hit) (+60%)
02:33.024,Lemme At'em prepares  attack  on Erichthonios 1236
02:33.559,Lemme At'em attack Erichthonios 1236
02:33.604,Lemme At'em prepares  Holy Spirit  on Erichthonios 9328
02:34.182,"Lemme At'em Goring Blade Erichthonios Tick  1598 (T: 1438, C: 24.2%, D: 19.2%, P/R: 18.36, G: 1491.41, M: 1.25, S: 1722)+25% damage"
02:34.359,Lemme At'em Holy Spirit Erichthonios 9328
02:35.295,Lemme At'em prepares  attack  on Erichthonios *1848*
02:35.830,Lemme At'em attack Erichthonios *1848*
02:36.097,Lemme At'em prepares  Holy Spirit  on Erichthonios 8860
02:36.854,Lemme At'em Holy Spirit Erichthonios 8860
02:37.210,"Lemme At'em Goring Blade Erichthonios Tick  1393 (T: 1438, C: 24.2%, D: 19.2%, P/R: 18.36, G: 1491.41, M: 1.25, S: 1722)+25% damage"
02:37.566,Lemme At'em prepares  attack  on Erichthonios 1505 (Direct Hit)
02:37.788,Lemme At'em prepares  Circle of Scorn  on Erichthonios 2159 (Direct Hit)
02:38.100,Lemme At'em attack Erichthonios 1505 (Direct Hit)
02:38.724,Lemme At'em prepares  Holy Spirit  on Erichthonios 9275
02:38.812,Lemme At'em Circle of Scorn Erichthonios 2159 (Direct Hit)
02:39.482,Lemme At'em Holy Spirit Erichthonios 9275
02:39.839,Lemme At'em prepares  attack  on Erichthonios 1472 (Direct Hit)
02:40.195,"Lemme At'em Goring Blade Erichthonios Tick  1661 (T: 1438, C: 24.2%, D: 19.2%, P/R: 18.36, G: 1491.41, M: 1.25, S: 1722)+25% damage"
02:40.195,"Lemme At'em Circle of Scorn Erichthonios Tick  611 (T: 529, C: 24.2%, D: 19.2%, P/R: 18.36, G: 550.67, M: 1, S: 633)"
02:40.372,Lemme At'em attack Erichthonios 1472 (Direct Hit)
02:41.221,Lemme At'em prepares  Holy Spirit  on Erichthonios *14864*
02:41.846,Lemme At'em prepares  Expiacion  on Erichthonios 5555
02:41.978,Lemme At'em Holy Spirit Erichthonios *14864*
02:42.112,Lemme At'em prepares  attack  on Erichthonios 1206
02:42.202,Lemme At'em Expiacion Erichthonios 5555
02:42.647,Lemme At'em attack Erichthonios 1206
02:43.180,"Lemme At'em Goring Blade Erichthonios Tick  1748 (T: 1438, C: 24.2%, D: 19.2%, P/R: 18.36, G: 1491.41, M: 1.25, S: 1722)+25% damage"
02:43.180,"Lemme At'em Circle of Scorn Erichthonios Tick  642 (T: 529, C: 24.2%, D: 19.2%, P/R: 18.36, G: 550.67, M: 1, S: 633)"
02:43.714,Lemme At'em prepares  Confiteor  on Erichthonios 15102
02:44.337,Lemme At'em Confiteor Erichthonios 15102
02:44.382,Lemme At'em prepares  attack  on Erichthonios *1856*
02:44.915,Lemme At'em attack Erichthonios *1856*
02:46.209,"Lemme At'em Goring Blade Erichthonios Tick  1842 (T: 1438, C: 24.2%, D: 19.2%, P/R: 18.36, G: 1491.41, M: 1.25, S: 1722)+25% damage"
02:46.209,"Lemme At'em Circle of Scorn Erichthonios Tick  678 (T: 529, C: 24.2%, D: 19.2%, P/R: 18.36, G: 550.67, M: 1, S: 633)"
02:46.209,Lemme At'em prepares  Blade of Faith  on Erichthonios 7386
02:46.654,Lemme At'em prepares  attack  on Erichthonios 1235
02:46.831,Lemme At'em Blade of Faith Erichthonios 7386
02:47.188,Lemme At'em attack Erichthonios 1235
02:48.702,Lemme At'em prepares  Blade of Truth  on Erichthonios 11217 (Direct Hit)
02:48.924,Lemme At'em prepares  attack  on Erichthonios 1233
02:49.193,"Lemme At'em Goring Blade Erichthonios Tick  2022 (T: 1438, C: 24.2%, D: 19.2%, P/R: 18.36, G: 1491.41, M: 1.25, S: 1722)+25% damage"
02:49.193,"Lemme At'em Circle of Scorn Erichthonios Tick  744 (T: 529, C: 24.2%, D: 19.2%, P/R: 18.36, G: 550.67, M: 1, S: 633)"
02:49.460,Lemme At'em attack Erichthonios 1233
02:49.592,Lemme At'em Blade of Truth Erichthonios 11217 (Direct Hit)
02:51.195,Lemme At'em prepares  Blade of Valor  on Erichthonios 9909
02:51.195,Lemme At'em prepares  attack  on Erichthonios 1157
02:51.729,Lemme At'em attack Erichthonios 1157
02:52.084,Lemme At'em Blade of Valor Erichthonios 9909
02:52.218,"Lemme At'em Circle of Scorn Erichthonios Tick  550 (T: 529, C: 24.2%, D: 19.2%, P/R: 18.36, G: 550.67, M: 1, S: 633)"
02:52.218,"Lemme At'em Blade of Valor Erichthonios Tick  1471 (T: 1417, C: 24.2%, D: 19.2%, P/R: 18.36, G: 1468.46, M: 1, S: 1697)"
02:53.465,Lemme At'em prepares  attack  on Erichthonios 1242
02:53.731,Lemme At'em prepares  Fast Blade  on Erichthonios *5373*
02:53.997,Lemme At'em attack Erichthonios 1242
02:54.352,Lemme At'em Fast Blade Erichthonios *5373*
02:55.196,"Lemme At'em Blade of Valor Erichthonios Tick  1699 (T: 1417, C: 24.2%, D: 19.2%, P/R: 18.36, G: 1468.46, M: 1, S: 1697)"
02:55.729,Lemme At'em prepares  attack  on Erichthonios 1136
02:56.130,Lemme At'em prepares  Riot Blade  on Erichthonios 5383 (+43%)
02:56.263,Lemme At'em attack Erichthonios 1136
02:56.885,Lemme At'em Riot Blade Erichthonios 5383 (+43%)
02:57.997,Lemme At'em prepares  attack  on Erichthonios 1180
02:58.219,"Lemme At'em Blade of Valor Erichthonios Tick  1597 (T: 1417, C: 24.2%, D: 19.2%, P/R: 18.36, G: 1468.46, M: 1, S: 1697)"
02:58.531,Lemme At'em attack Erichthonios 1180
02:58.577,Lemme At'em prepares  Royal Authority  on Erichthonios 7042 (+69%)
02:59.156,Lemme At'em Royal Authority Erichthonios 7042 (+69%)
03:00.270,Lemme At'em prepares  attack  on Erichthonios 1540 (Direct Hit)
03:00.805,Lemme At'em attack Erichthonios 1540 (Direct Hit)
03:00.984,Lemme At'em prepares  Atonement  on Erichthonios *15042* (Direct Hit)
03:01.207,"Lemme At'em Blade of Valor Erichthonios Tick  1789 (T: 1417, C: 24.2%, D: 19.2%, P/R: 18.36, G: 1468.46, M: 1, S: 1697)"
03:02.275,Lemme At'em Atonement Erichthonios *15042* (Direct Hit)
03:02.541,Lemme At'em prepares  attack  on Erichthonios 1222
03:03.077,Lemme At'em attack Erichthonios 1222
03:03.388,Lemme At'em prepares  Atonement  on Erichthonios *11881*
03:04.188,"Lemme At'em Blade of Valor Erichthonios Tick  1802 (T: 1417, C: 24.2%, D: 19.2%, P/R: 18.36, G: 1468.46, M: 1, S: 1697)"
03:04.678,Lemme At'em Atonement Erichthonios *11881*
03:04.811,Lemme At'em prepares  attack  on Erichthonios *1856*
03:05.346,Lemme At'em attack Erichthonios *1856*
03:05.792,Lemme At'em prepares  Fast Blade  on Erichthonios 3462
03:06.416,Lemme At'em Fast Blade Erichthonios 3462
03:07.084,Lemme At'em prepares  attack  on Erichthonios 1189
03:07.217,"Lemme At'em Blade of Valor Erichthonios Tick  1609 (T: 1417, C: 24.2%, D: 19.2%, P/R: 18.36, G: 1468.46, M: 1, S: 1697)"
03:07.617,Lemme At'em attack Erichthonios 1189
03:08.376,Lemme At'em prepares  Riot Blade  on Erichthonios 7947 (Direct Hit) (+43%)+25% damage
03:08.957,Lemme At'em prepares  Circle of Scorn  on Erichthonios 2242+25% damage
03:09.134,Lemme At'em Riot Blade Erichthonios 7947 (Direct Hit) (+43%)
03:09.356,Lemme At'em prepares  attack  on Erichthonios 1501+25% damage
03:09.622,Lemme At'em prepares  Intervene  on Erichthonios *5218*+25% damage
03:09.891,Lemme At'em attack Erichthonios 1501
03:09.979,Lemme At'em Circle of Scorn Erichthonios 2242
03:10.203,Lemme At'em Intervene Erichthonios *5218*
03:10.203,"Lemme At'em Blade of Valor Erichthonios Tick  1701 (T: 1417, C: 24.2%, D: 19.2%, P/R: 18.36, G: 1468.46, M: 1, S: 1697)"
03:10.203,"Lemme At'em Circle of Scorn Erichthonios Tick  793 (T: 661, C: 24.2%, D: 19.2%, P/R: 18.36, G: 688.34, M: 1.25, S: 791)+25% damage"
03:10.781,Lemme At'em prepares  Goring Blade  on Erichthonios *8701* (+60%)+25% damage
03:11.314,Lemme At'em Goring Blade Erichthonios *8701* (+60%)
03:11.625,Lemme At'em prepares  attack  on Erichthonios 1465+25% damage
03:11.848,Lemme At'em prepares  Expiacion  on Erichthonios *14205* (Direct Hit)+25% damage
03:12.161,Lemme At'em attack Erichthonios 1465
03:12.204,Lemme At'em Expiacion Erichthonios *14205* (Direct Hit)
03:12.695,Lemme At'em prepares  Intervene  on Erichthonios *5052*+25% damage
03:13.183,"Lemme At'em Circle of Scorn Erichthonios Tick  843 (T: 661, C: 24.2%, D: 19.2%, P/R: 18.36, G: 688.34, M: 1.25, S: 791)+25% damage"
03:13.183,"Lemme At'em Goring Blade Erichthonios Tick  1834 (T: 1438, C: 24.2%, D: 19.2%, P/R: 18.36, G: 1491.41, M: 1.25, S: 1722)+25% damage"
03:13.272,Lemme At'em Intervene Erichthonios *5052*
03:13.361,Lemme At'em prepares  Fast Blade  on Erichthonios 4427+25% damage
03:13.893,Lemme At'em prepares  attack  on Erichthonios 1805 (Direct Hit)+25% damage
03:13.982,Lemme At'em Fast Blade Erichthonios 4427
03:14.426,Lemme At'em attack Erichthonios 1805 (Direct Hit)
03:15.809,Lemme At'em prepares  Riot Blade  on Erichthonios 6282 (+43%)+25% damage
03:16.165,Lemme At'em prepares  attack  on Erichthonios 1541+25% damage
03:16.209,"Lemme At'em Circle of Scorn Erichthonios Tick  813 (T: 661, C: 24.2%, D: 19.2%, P/R: 18.36, G: 688.34, M: 1.25, S: 791)+25% damage"
03:16.209,"Lemme At'em Goring Blade Erichthonios Tick  1769 (T: 1438, C: 24.2%, D: 19.2%, P/R: 18.36, G: 1491.41, M: 1.25, S: 1722)+25% damage"
03:16.565,Lemme At'em Riot Blade Erichthonios 6282 (+43%)
03:16.699,Lemme At'em attack Erichthonios 1541
03:17.590,Lemme At'em prepares  Requiescat  on Erichthonios 6632
03:18.213,Lemme At'em Requiescat Erichthonios 6632
03:18.213,Lemme At'em prepares  Royal Authority  on Erichthonios 8971 (+69%)+25% damage
03:18.436,Lemme At'em prepares  attack  on Erichthonios 1470+25% damage
03:18.791,Lemme At'em Royal Authority Erichthonios 8971 (+69%)
03:18.969,Lemme At'em attack Erichthonios 1470
03:19.192,"Lemme At'em Circle of Scorn Erichthonios Tick  654 (T: 661, C: 24.2%, D: 19.2%, P/R: 18.36, G: 688.34, M: 1.25, S: 791)+25% damage"
03:19.192,"Lemme At'em Goring Blade Erichthonios Tick  1424 (T: 1438, C: 24.2%, D: 19.2%, P/R: 18.36, G: 1491.41, M: 1.25, S: 1722)+25% damage"
03:20.663,Lemme At'em prepares  Atonement  on Erichthonios *14195*+25% damage
03:20.706,Lemme At'em prepares  attack  on Erichthonios 1792 (Direct Hit)+25% damage
03:21.240,Lemme At'em attack Erichthonios 1792 (Direct Hit)
03:21.957,Lemme At'em Atonement Erichthonios *14195*
03:22.178,"Lemme At'em Circle of Scorn Erichthonios Tick  705 (T: 661, C: 24.2%, D: 19.2%, P/R: 18.36, G: 688.34, M: 1.25, S: 791)+25% damage"
03:22.178,"Lemme At'em Goring Blade Erichthonios Tick  1533 (T: 1438, C: 24.2%, D: 19.2%, P/R: 18.36, G: 1491.41, M: 1.25, S: 1722)+25% damage"
03:22.979,Lemme At'em prepares  attack  on Erichthonios 1518+25% damage
03:23.113,Lemme At'em prepares  Atonement  on Erichthonios *14886*+25% damage
03:23.514,Lemme At'em attack Erichthonios 1518
03:24.404,Lemme At'em Atonement Erichthonios *14886*
03:25.206,"Lemme At'em Goring Blade Erichthonios Tick  1824 (T: 1438, C: 24.2%, D: 19.2%, P/R: 18.36, G: 1491.41, M: 1.25, S: 1722)+25% damage"
03:25.250,Lemme At'em prepares  attack  on Erichthonios 1530+25% damage
03:25.518,Lemme At'em prepares  Atonement  on Erichthonios 8786+25% damage
03:25.784,Lemme At'em attack Erichthonios 1530
03:26.810,Lemme At'em Atonement Erichthonios 8786
03:27.524,Lemme At'em prepares  attack  on Erichthonios 1525+25% damage
03:27.925,Lemme At'em prepares  Fast Blade  on Erichthonios *7061*+25% damage
03:28.058,Lemme At'em attack Erichthonios 1525
03:28.192,"Lemme At'em Goring Blade Erichthonios Tick  1772 (T: 1438, C: 24.2%, D: 19.2%, P/R: 18.36, G: 1491.41, M: 1.25, S: 1722)+25% damage"
03:28.548,Lemme At'em Fast Blade Erichthonios *7061*
03:29.795,Lemme At'em prepares  attack  on Erichthonios 1527+25% damage
03:30.329,Lemme At'em attack Erichthonios 1527
03:30.374,Lemme At'em prepares  Riot Blade  on Erichthonios 6345 (+43%)+25% damage
03:31.131,Lemme At'em Riot Blade Erichthonios 6345 (+43%)
03:31.220,"Lemme At'em Goring Blade Erichthonios Tick  1560 (T: 1438, C: 24.2%, D: 19.2%, P/R: 18.36, G: 1491.41, M: 1.25, S: 1722)+25% damage"
03:32.065,Lemme At'em prepares  attack  on Erichthonios 1490+25% damage
03:32.600,Lemme At'em attack Erichthonios 1490
03:32.823,Lemme At'em prepares  Goring Blade  on Erichthonios *8383* (+60%)+25% damage
03:33.357,Lemme At'em Goring Blade Erichthonios *8383* (+60%)
03:34.202,"Lemme At'em Goring Blade Erichthonios Tick  1555 (T: 1438, C: 24.2%, D: 19.2%, P/R: 18.36, G: 1491.41, M: 1.25, S: 1722)+25% damage"
03:34.336,Lemme At'em prepares  attack  on Erichthonios *1830*
03:34.870,Lemme At'em attack Erichthonios *1830*
03:35.225,Lemme At'em prepares  Holy Spirit  on Erichthonios 9525
03:35.983,Lemme At'em Holy Spirit Erichthonios 9525
03:36.608,Lemme At'em prepares  attack  on Erichthonios 1239
03:37.142,Lemme At'em attack Erichthonios 1239
03:37.185,"Lemme At'em Goring Blade Erichthonios Tick  1681 (T: 1438, C: 24.2%, D: 19.2%, P/R: 18.36, G: 1491.41, M: 1.25, S: 1722)+25% damage"
03:37.720,Lemme At'em prepares  Holy Spirit  on Erichthonios 9064
03:38.476,Lemme At'em Holy Spirit Erichthonios 9064
03:38.877,Lemme At'em prepares  attack  on Erichthonios *1830*
03:38.966,Lemme At'em prepares  Circle of Scorn  on Erichthonios 1682
03:39.411,Lemme At'em attack Erichthonios *1830*
03:39.990,Lemme At'em Circle of Scorn Erichthonios 1682
03:40.213,"Lemme At'em Goring Blade Erichthonios Tick  1561 (T: 1438, C: 24.2%, D: 19.2%, P/R: 18.36, G: 1491.41, M: 1.25, S: 1722)+25% damage"
03:40.213,"Lemme At'em Circle of Scorn Erichthonios Tick  574 (T: 529, C: 24.2%, D: 19.2%, P/R: 18.36, G: 550.67, M: 1, S: 633)"
03:40.213,Lemme At'em prepares  Holy Spirit  on Erichthonios 9016
03:40.968,Lemme At'em Holy Spirit Erichthonios 9016
03:41.146,Lemme At'em prepares  attack  on Erichthonios 1197
03:41.679,Lemme At'em attack Erichthonios 1197
03:42.701,Lemme At'em prepares  Holy Spirit  on Erichthonios *14039*
03:43.191,"Lemme At'em Goring Blade Erichthonios Tick  2028 (T: 1438, C: 24.2%, D: 19.2%, P/R: 18.36, G: 1491.41, M: 1.25, S: 1722)+25% damage"
03:43.191,"Lemme At'em Circle of Scorn Erichthonios Tick  745 (T: 529, C: 24.2%, D: 19.2%, P/R: 18.36, G: 550.67, M: 1, S: 633)"
03:43.369,Lemme At'em prepares  Expiacion  on Erichthonios 5769
03:43.413,Lemme At'em prepares  attack  on Erichthonios 1150
03:43.457,Lemme At'em Holy Spirit Erichthonios *14039*
03:43.767,Lemme At'em Expiacion Erichthonios 5769
03:43.945,Lemme At'em attack Erichthonios 1150
03:45.235,Lemme At'em prepares  Confiteor  on Erichthonios 19719 (Direct Hit)
03:45.679,Lemme At'em prepares  attack  on Erichthonios 1170
03:45.856,Lemme At'em Confiteor Erichthonios 19719 (Direct Hit)
03:46.211,Lemme At'em attack Erichthonios 1170
03:46.211,"Lemme At'em Goring Blade Erichthonios Tick  1829 (T: 1438, C: 24.2%, D: 19.2%, P/R: 18.36, G: 1491.41, M: 1.25, S: 1722)+25% damage"
03:46.211,"Lemme At'em Circle of Scorn Erichthonios Tick  673 (T: 529, C: 24.2%, D: 19.2%, P/R: 18.36, G: 550.67, M: 1, S: 633)"
03:47.723,Lemme At'em prepares  Blade of Faith  on Erichthonios 7174
03:47.945,Lemme At'em prepares  attack  on Erichthonios 1207
03:48.346,Lemme At'em Blade of Faith Erichthonios 7174
03:48.480,Lemme At'em attack Erichthonios 1207
03:49.191,"Lemme At'em Goring Blade Erichthonios Tick  1878 (T: 1438, C: 24.2%, D: 19.2%, P/R: 18.36, G: 1491.41, M: 1.25, S: 1722)+25% damage"
03:49.191,"Lemme At'em Circle of Scorn Erichthonios Tick  691 (T: 529, C: 24.2%, D: 19.2%, P/R: 18.36, G: 550.67, M: 1, S: 633)"
03:50.213,Lemme At'em prepares  Blade of Truth  on Erichthonios *13649*
03:50.213,Lemme At'em prepares  attack  on Erichthonios 1203
03:50.746,Lemme At'em attack Erichthonios 1203
03:51.102,Lemme At'em Blade of Truth Erichthonios *13649*
03:52.216,"Lemme At'em Goring Blade Erichthonios Tick  1743 (T: 1438, C: 24.2%, D: 19.2%, P/R: 18.36, G: 1491.41, M: 1.25, S: 1722)+25% damage"
03:52.216,"Lemme At'em Circle of Scorn Erichthonios Tick  641 (T: 529, C: 24.2%, D: 19.2%, P/R: 18.36, G: 550.67, M: 1, S: 633)"
03:52.483,Lemme At'em prepares  attack  on Erichthonios 1159
03:52.705,Lemme At'em prepares  Blade of Valor  on Erichthonios *15461*
03:53.014,Lemme At'em attack Erichthonios 1159
03:53.637,Lemme At'em Blade of Valor Erichthonios *15461*
03:54.750,Lemme At'em prepares  attack  on Erichthonios 1199
03:55.195,"Lemme At'em Blade of Valor Erichthonios Tick  1849 (T: 1417, C: 24.2%, D: 19.2%, P/R: 18.36, G: 1468.46, M: 1, S: 1697)"
03:55.285,Lemme At'em attack Erichthonios 1199
03:55.285,Lemme At'em prepares  Fast Blade  on Erichthonios 3554
03:55.907,Lemme At'em Fast Blade Erichthonios 3554
03:57.019,Lemme At'em prepares  attack  on Erichthonios *1873*
03:57.552,Lemme At'em attack Erichthonios *1873*
03:57.686,Lemme At'em prepares  Riot Blade  on Erichthonios *8055* (+43%)
03:58.219,"Lemme At'em Blade of Valor Erichthonios Tick  1631 (T: 1417, C: 24.2%, D: 19.2%, P/R: 18.36, G: 1468.46, M: 1, S: 1697)"
03:58.441,Lemme At'em Riot Blade Erichthonios *8055* (+43%)
03:59.284,Lemme At'em prepares  attack  on Erichthonios 1517 (Direct Hit)
03:59.819,Lemme At'em attack Erichthonios 1517 (Direct Hit)
04:00.086,Lemme At'em prepares  Royal Authority  on Erichthonios 7022 (+69%)
04:00.665,Lemme At'em Royal Authority Erichthonios 7022 (+69%)
04:01.198,"Lemme At'em Blade of Valor Erichthonios Tick  1535 (T: 1417, C: 24.2%, D: 19.2%, P/R: 18.36, G: 1468.46, M: 1, S: 1697)"
04:01.554,Lemme At'em prepares  attack  on Erichthonios *1871*
04:02.088,Lemme At'em attack Erichthonios *1871*
04:02.489,Lemme At'em prepares  Atonement  on Erichthonios 9046 (Direct Hit)
04:03.778,Lemme At'em Atonement Erichthonios 9046 (Direct Hit)
04:03.823,Lemme At'em prepares  attack  on Erichthonios *2341* (Direct Hit)
04:04.180,"Lemme At'em Blade of Valor Erichthonios Tick  1456 (T: 1417, C: 24.2%, D: 19.2%, P/R: 18.36, G: 1468.46, M: 1, S: 1697)"
04:04.358,Lemme At'em attack Erichthonios *2341* (Direct Hit)
04:04.934,Lemme At'em prepares  Atonement  on Erichthonios *11517*
04:06.089,Lemme At'em prepares  attack  on Erichthonios 1169
04:06.268,Lemme At'em Atonement Erichthonios *11517*
04:06.624,Lemme At'em attack Erichthonios 1169
04:07.202,"Lemme At'em Blade of Valor Erichthonios Tick  1592 (T: 1417, C: 24.2%, D: 19.2%, P/R: 18.36, G: 1468.46, M: 1, S: 1697)"
04:07.336,Lemme At'em prepares  Fast Blade  on Erichthonios 3439
04:07.959,Lemme At'em Fast Blade Erichthonios 3439
04:08.359,Lemme At'em prepares  attack  on Erichthonios *1961*
04:08.893,Lemme At'em attack Erichthonios *1961*
04:09.782,Lemme At'em prepares  Riot Blade  on Erichthonios 6919 (+43%)+31% damage
04:10.181,"Lemme At'em Blade of Valor Erichthonios Tick  1683 (T: 1417, C: 24.2%, D: 19.2%, P/R: 18.36, G: 1468.46, M: 1, S: 1697)"
04:10.359,Lemme At'em prepares  Circle of Scorn  on Erichthonios 2326+38% damage
04:10.537,Lemme At'em Riot Blade Erichthonios 6919 (+43%)
04:10.627,Lemme At'em prepares  attack  on Erichthonios *2536*+38% damage
04:10.985,Lemme At'em prepares  Intervene  on Erichthonios 3630+46% damage
04:11.162,Lemme At'em attack Erichthonios *2536*
04:11.384,Lemme At'em Circle of Scorn Erichthonios 2326
04:11.561,Lemme At'em Intervene Erichthonios 3630
04:12.230,Lemme At'em prepares  Goring Blade  on Erichthonios 6217 (+60%)+46% damage
04:12.763,Lemme At'em Goring Blade Erichthonios 6217 (+60%)
04:12.898,Lemme At'em prepares  attack  on Erichthonios 2093 (Direct Hit)+46% damage
04:13.208,"Lemme At'em Circle of Scorn Erichthonios Tick  873 (T: 728, C: 34.2%, D: 19.2%, P/R: 18.36, G: 759.93, M: 1.38, S: 917)+38% damage"
04:13.208,"Lemme At'em Goring Blade Erichthonios Tick  2013 (T: 1679, C: 34.2%, D: 19.2%, P/R: 18.36, G: 1741.96, M: 1.46, S: 2115)+46% damage"
04:13.342,Lemme At'em prepares  Expiacion  on Erichthonios *13686*+46% damage
04:13.432,Lemme At'em attack Erichthonios 2093 (Direct Hit)
04:13.699,Lemme At'em Expiacion Erichthonios *13686*
04:14.679,Lemme At'em prepares  Fast Blade  on Erichthonios 6408 (Direct Hit)+46% damage
04:15.170,Lemme At'em prepares  attack  on Erichthonios 1810+46% damage
04:15.214,Lemme At'em prepares  Intervene  on Erichthonios 3933+46% damage
04:15.302,Lemme At'em Fast Blade Erichthonios 6408 (Direct Hit)
04:15.703,Lemme At'em attack Erichthonios 1810
04:15.792,Lemme At'em Intervene Erichthonios 3933
