Time,Event
00:29.212,Lemme At'em Goring Blade Erichthonios 6306 (+60%)
00:29.391,Lemme At'em prepares  attack  on Erichthonios 1242+5% damage
00:29.925,Lemme At'em attack Erichthonios 1242
00:31.086,Lemme At'em prepares  Holy Spirit  on Erichthonios 9785+5% damage
00:31.175,"Lemme At'em Goring Blade Erichthonios Tick  1818 (T: 1625, C: 24.2%, D: 19.2%, P/R: 18.36, G: 1646.51, M: 1.38, S: 1947)+38% damage"
00:31.664,Lemme At'em prepares  attack  on Erichthonios 1284+5% damage
00:31.843,Lemme At'em Holy Spirit Erichthonios 9785
00:32.200,Lemme At'em attack Erichthonios 1284
00:33.584,Lemme At'em prepares  Holy Spirit  on Erichthonios 10484+5% damage
00:33.938,Lemme At'em prepares  attack  on Erichthonios *2129*+5% damage
00:34.206,"Lemme At'em Goring Blade Erichthonios Tick  2089 (T: 1625, C: 24.2%, D: 19.2%, P/R: 18.36, G: 1646.51, M: 1.38, S: 1947)+38% damage"
00:34.339,Lemme At'em Holy Spirit Erichthonios 10484
00:34.474,Lemme At'em attack Erichthonios *2129*
00:35.055,Lemme At'em prepares  Circle of Scorn  on Erichthonios 1845+5% damage
00:36.078,Lemme At'em Circle of Scorn Erichthonios 1845
00:36.078,Lemme At'em prepares  Holy Spirit  on Erichthonios *15592*+5% damage
00:36.212,Lemme At'em prepares  attack  on Erichthonios 1281+5% damage
00:36.747,Lemme At'em attack Erichthonios 1281
00:36.836,Lemme At'em Holy Spirit Erichthonios *15592*
00:37.194,"Lemme At'em Goring Blade Erichthonios Tick  1664 (T: 1625, C: 24.2%, D: 19.2%, P/R: 18.36, G: 1646.51, M: 1.38, S: 1947)+38% damage"
00:37.194,"Lemme At'em Circle of Scorn Erichthonios Tick  585 (T: 571, C: 24.2%, D: 19.2%, P/R: 18.36, G: 578.21, M: 1.05, S: 684)+5% damage"
00:38.487,Lemme At'em prepares  attack  on Erichthonios *2059*+5% damage
00:38.578,Lemme At'em prepares  Holy Spirit  on Erichthonios *16190*+5% damage
00:39.023,Lemme At'em attack Erichthonios *2059*
00:39.337,Lemme At'em Holy Spirit Erichthonios *16190*
00:39.919,Lemme At'em prepares  Expiacion  on Erichthonios *8959*
00:40.185,"Lemme At'em Goring Blade Erichthonios Tick  2087 (T: 1625, C: 24.2%, D: 19.2%, P/R: 18.36, G: 1646.51, M: 1.38, S: 1947)+38% damage"
00:40.185,"Lemme At'em Circle of Scorn Erichthonios Tick  732 (T: 571, C: 24.2%, D: 19.2%, P/R: 18.36, G: 578.21, M: 1.05, S: 684)+5% damage"
00:40.318,Lemme At'em Expiacion Erichthonios *8959*
00:40.761,Lemme At'em prepares  attack  on Erichthonios 1215
00:41.074,Lemme At'em prepares  Confiteor  on Erichthonios *24704*
00:41.296,Lemme At'em attack Erichthonios 1215
00:41.696,Lemme At'em Confiteor Erichthonios *24704*
00:43.030,Lemme At'em prepares  attack  on Erichthonios 1500 (Direct Hit)
00:43.208,"Lemme At'em Goring Blade Erichthonios Tick  2043 (T: 1625, C: 24.2%, D: 19.2%, P/R: 18.36, G: 1646.51, M: 1.38, S: 1947)+38% damage"
00:43.208,"Lemme At'em Circle of Scorn Erichthonios Tick  718 (T: 571, C: 24.2%, D: 19.2%, P/R: 18.36, G: 578.21, M: 1.05, S: 684)+5% damage"
00:43.565,Lemme At'em attack Erichthonios 1500 (Direct Hit)
00:43.610,Lemme At'em prepares  Blade of Faith  on Erichthonios 7124
00:44.231,Lemme At'em Blade of Faith Erichthonios 7124
00:45.298,Lemme At'em prepares  attack  on Erichthonios *1945*
00:45.834,Lemme At'em attack Erichthonios *1945*
00:46.101,Lemme At'em prepares  Blade of Truth  on Erichthonios *13422*
00:46.190,"Lemme At'em Goring Blade Erichthonios Tick  1872 (T: 1625, C: 24.2%, D: 19.2%, P/R: 18.36, G: 1646.51, M: 1.38, S: 1947)+38% damage"
00:46.190,"Lemme At'em Circle of Scorn Erichthonios Tick  658 (T: 571, C: 24.2%, D: 19.2%, P/R: 18.36, G: 578.21, M: 1.05, S: 684)+5% damage"
00:46.989,Lemme At'em Blade of Truth Erichthonios *13422*
00:47.567,Lemme At'em prepares  attack  on Erichthonios *1905*
00:48.103,Lemme At'em attack Erichthonios *1905*
00:48.637,Lemme At'em prepares  Blade of Valor  on Erichthonios 12923 (Direct Hit)
00:49.218,"Lemme At'em Goring Blade Erichthonios Tick  2180 (T: 1625, C: 24.2%, D: 19.2%, P/R: 18.36, G: 1646.51, M: 1.38, S: 1947)+38% damage"
00:49.218,"Lemme At'em Circle of Scorn Erichthonios Tick  766 (T: 571, C: 24.2%, D: 19.2%, P/R: 18.36, G: 578.21, M: 1.05, S: 684)+5% damage"
00:49.532,Lemme At'em Blade of Valor Erichthonios 12923 (Direct Hit)
00:49.842,Lemme At'em prepares  attack  on Erichthonios 1218
00:50.375,Lemme At'em attack Erichthonios 1218
00:51.129,Lemme At'em prepares  Fast Blade  on Erichthonios 3489
00:51.753,Lemme At'em Fast Blade Erichthonios 3489
00:52.197,"Lemme At'em Blade of Valor Erichthonios Tick  1819 (T: 1417, C: 24.2%, D: 19.2%, P/R: 18.36, G: 1468.46, M: 1, S: 1697)"
00:53.129,Lemme At'em prepares  attack  on Erichthonios *1857*
00:53.531,Lemme At'em prepares  Riot Blade  on Erichthonios 4948 (+43%)
00:53.664,Lemme At'em attack Erichthonios *1857*
00:54.287,Lemme At'em Riot Blade Erichthonios 4948 (+43%)
00:55.178,"Lemme At'em Blade of Valor Erichthonios Tick  1942 (T: 1417, C: 24.2%, D: 19.2%, P/R: 18.36, G: 1468.46, M: 1, S: 1697)"
00:55.401,Lemme At'em prepares  attack  on Erichthonios 1197
00:55.935,Lemme At'em attack Erichthonios 1197
00:55.935,Lemme At'em prepares  Royal Authority  on Erichthonios 7476 (+69%)
00:56.513,Lemme At'em Royal Authority Erichthonios 7476 (+69%)
00:57.669,Lemme At'em prepares  attack  on Erichthonios *2403* (Direct Hit)
00:58.203,Lemme At'em attack Erichthonios *2403* (Direct Hit)
00:58.203,"Lemme At'em Blade of Valor Erichthonios Tick  1859 (T: 1417, C: 24.2%, D: 19.2%, P/R: 18.36, G: 1468.46, M: 1, S: 1697)"
00:58.380,Lemme At'em prepares  Atonement  on Erichthonios *11431*
00:59.672,Lemme At'em Atonement Erichthonios *11431*
00:59.939,Lemme At'em prepares  attack  on Erichthonios 1192
01:00.472,Lemme At'em attack Erichthonios 1192
01:00.783,Lemme At'em prepares  Atonement  on Erichthonios 7338
